mi_quality,transcript_id,video_title,video_url,topic,utterance_id,interlocutor,timestamp,utterance_text,annotator_id,therapist_input_exists,therapist_input_subtype,reflection_exists,reflection_subtype,question_exists,question_subtype,main_therapist_behaviour,client_talk_type,Co_cat5,
high,64,Ricky and Ian,https://www.youtube.com/watch?v=uH38Bxe3Lzw,reducing drug use,0,therapist,0:00:01,"Well, welcome, Ricky.",8,FALSE,,FALSE,,FALSE,,other,,other,
high,64,Ricky and Ian,https://www.youtube.com/watch?v=uH38Bxe3Lzw,reducing drug use,1,client,0:00:03,Thank you.,8,,,,,,,,neutral,,
high,64,Ricky and Ian,https://www.youtube.com/watch?v=uH38Bxe3Lzw,reducing drug use,2,therapist,0:00:04,Nice to meet you.,8,FALSE,,FALSE,,FALSE,,other,,other,
high,64,Ricky and Ian,https://www.youtube.com/watch?v=uH38Bxe3Lzw,reducing drug use,3,client,0:00:05,"Yeah, you too.",8,,,,,,,,neutral,,
high,64,Ricky and Ian,https://www.youtube.com/watch?v=uH38Bxe3Lzw,reducing drug use,4,therapist,0:00:07,And you found us okay?,8,FALSE,,FALSE,,TRUE,closed,question,,other,
high,64,Ricky and Ian,https://www.youtube.com/watch?v=uH38Bxe3Lzw,reducing drug use,5,client,0:00:08,"Yeah. Yeah, yeah, yeah.",8,,,,,,,,neutral,,
high,64,Ricky and Ian,https://www.youtube.com/watch?v=uH38Bxe3Lzw,reducing drug use,6,therapist,0:00:09,Alright.,8,FALSE,,FALSE,,FALSE,,other,,other,
high,64,Ricky and Ian,https://www.youtube.com/watch?v=uH38Bxe3Lzw,reducing drug use,7,client,0:00:09,Yeah. Yeah. pretty straightforward-,8,,,,,,,,neutral,,
high,64,Ricky and Ian,https://www.youtube.com/watch?v=uH38Bxe3Lzw,reducing drug use,8,therapist,0:00:11,Yeah,8,FALSE,,FALSE,,FALSE,,other,,other,
high,64,Ricky and Ian,https://www.youtube.com/watch?v=uH38Bxe3Lzw,reducing drug use,9,client,0:00:11,#NAME?,8,,,,,,,,neutral,,
high,64,Ricky and Ian,https://www.youtube.com/watch?v=uH38Bxe3Lzw,reducing drug use,10,therapist,0:00:12,Have you been here before?,8,FALSE,,FALSE,,TRUE,closed,question,,q,
high,64,Ricky and Ian,https://www.youtube.com/watch?v=uH38Bxe3Lzw,reducing drug use,11,client,0:00:13,"No. No, not at all.",8,,,,,,,,neutral,,
high,64,Ricky and Ian,https://www.youtube.com/watch?v=uH38Bxe3Lzw,reducing drug use,12,therapist,0:00:15,"Mm. Okay. Alright. Well, um, I know a little about why you're here today-",8,FALSE,,FALSE,,FALSE,,other,,other,
high,64,Ricky and Ian,https://www.youtube.com/watch?v=uH38Bxe3Lzw,reducing drug use,13,client,0:00:25,Yeah.,8,,,,,,,,neutral,,
high,64,Ricky and Ian,https://www.youtube.com/watch?v=uH38Bxe3Lzw,reducing drug use,14,therapist,0:00:25,"-um, but it's great to see you, and so maybe a good point to start with is, tell me why you're here.",8,FALSE,,FALSE,,TRUE,open,question,,q,
high,64,Ricky and Ian,https://www.youtube.com/watch?v=uH38Bxe3Lzw,reducing drug use,15,client,0:00:32,"Sure. Um, I guess, you know, maybe two or three weeks ago, I had sort of like this group of friends come around to my place, and um, you know, they-they were sort of saying that it was just like a night to hang out and watch DVDs and stuff, and then they sort of sat me down and were like, ""You know, maybe you need to get a bit of help for, you know, drug stuff."" Then, you know, I was sort of like, ""Well, mm."" And I was quite annoyed by that at first, but I-I suppose, you know, I thought about it for a bit and then I was like, ""Well, I guess it can't hurt to talk to someone about it, maybe.""",8,,,,,,,,change,,
high,64,Ricky and Ian,https://www.youtube.com/watch?v=uH38Bxe3Lzw,reducing drug use,16,therapist,0:01:35,Right.,8,FALSE,,FALSE,,FALSE,,other,,other,
high,64,Ricky and Ian,https://www.youtube.com/watch?v=uH38Bxe3Lzw,reducing drug use,17,client,0:01:35,Yeah.,8,,,,,,,,neutral,,
high,64,Ricky and Ian,https://www.youtube.com/watch?v=uH38Bxe3Lzw,reducing drug use,18,therapist,0:01:38,And that's led you to being here today?,8,FALSE,,FALSE,,TRUE,closed,question,,q,
high,64,Ricky and Ian,https://www.youtube.com/watch?v=uH38Bxe3Lzw,reducing drug use,19,client,0:01:39,Yeah.,8,,,,,,,,neutral,,
high,64,Ricky and Ian,https://www.youtube.com/watch?v=uH38Bxe3Lzw,reducing drug use,20,therapist,0:01:40,Alright.,8,FALSE,,FALSE,,FALSE,,other,,other,
high,64,Ricky and Ian,https://www.youtube.com/watch?v=uH38Bxe3Lzw,reducing drug use,21,client,0:01:40,"Yeah. I just sort of did a bit of search on the internet and stuff and just read about this place, so I just thought I'll—",8,,,,,,,,change,,
high,64,Ricky and Ian,https://www.youtube.com/watch?v=uH38Bxe3Lzw,reducing drug use,22,therapist,0:01:48,"Right. So it sounds like you thought there was something that, uh, that you needed to look at, something that was concerning you?",8,FALSE,,FALSE,,TRUE,closed,question,,q,
high,64,Ricky and Ian,https://www.youtube.com/watch?v=uH38Bxe3Lzw,reducing drug use,23,client,0:01:56,"Yeah, I guess. I-I suppose I hadn't really thought about it till they sat me down, and you know- I mean I could, uh, I could understand a little bit of where they were coming from, so yeah, I thought I'd—",8,,,,,,,,change,,
high,64,Ricky and Ian,https://www.youtube.com/watch?v=uH38Bxe3Lzw,reducing drug use,24,therapist,0:02:15,They were concerned for you?,8,FALSE,,FALSE,,TRUE,closed,question,,q,
high,64,Ricky and Ian,https://www.youtube.com/watch?v=uH38Bxe3Lzw,reducing drug use,25,client,0:02:16,Yeah.,8,,,,,,,,neutral,,
high,64,Ricky and Ian,https://www.youtube.com/watch?v=uH38Bxe3Lzw,reducing drug use,26,therapist,0:02:17,Alright.,8,FALSE,,FALSE,,FALSE,,other,,other,
high,64,Ricky and Ian,https://www.youtube.com/watch?v=uH38Bxe3Lzw,reducing drug use,27,client,0:02:17,"Yeah. Yeah, which kind of was a bit of a sh-shock, I suppose.",8,,,,,,,,change,,
high,64,Ricky and Ian,https://www.youtube.com/watch?v=uH38Bxe3Lzw,reducing drug use,28,therapist,0:02:27,You were surprised?,8,FALSE,,FALSE,,TRUE,closed,question,,q,
high,64,Ricky and Ian,https://www.youtube.com/watch?v=uH38Bxe3Lzw,reducing drug use,29,client,0:02:29,"Yeah. Yeah, 'cause, you know, I don't know. You know, you see on movies when people sort of intervene or say, ""You know, you need to go and get help."" And then-- I don't know. Like you know those characters and, they-they do need help, you know-",8,,,,,,,,neutral,,
high,64,Ricky and Ian,https://www.youtube.com/watch?v=uH38Bxe3Lzw,reducing drug use,30,therapist,0:02:48,Yep.,8,FALSE,,FALSE,,FALSE,,other,,other,
high,64,Ricky and Ian,https://www.youtube.com/watch?v=uH38Bxe3Lzw,reducing drug use,31,client,0:02:48,-because they're fucked.,8,,,,,,,,neutral,,
high,64,Ricky and Ian,https://www.youtube.com/watch?v=uH38Bxe3Lzw,reducing drug use,32,therapist,0:02:50,Mm-hmm.,8,FALSE,,FALSE,,FALSE,,other,,other,
high,64,Ricky and Ian,https://www.youtube.com/watch?v=uH38Bxe3Lzw,reducing drug use,33,client,0:02:51,"And you kind of go, ""Woah. That's not me."" So it's about am I—",8,,,,,,,,change,,
high,64,Ricky and Ian,https://www.youtube.com/watch?v=uH38Bxe3Lzw,reducing drug use,34,therapist,0:02:56,You're not sure that applies to you?,8,FALSE,,FALSE,,TRUE,closed,question,,q,
high,64,Ricky and Ian,https://www.youtube.com/watch?v=uH38Bxe3Lzw,reducing drug use,35,client,0:03:00,"Yeah, or well, not to that extent, you know what I mean? Like, I-I would-- l didn't think I was at anywhere near a point that I would need to be sat down and intervened with-",8,,,,,,,,sustain,,
high,64,Ricky and Ian,https://www.youtube.com/watch?v=uH38Bxe3Lzw,reducing drug use,36,therapist,0:03:13,Okay.,8,FALSE,,FALSE,,FALSE,,other,,other,
high,64,Ricky and Ian,https://www.youtube.com/watch?v=uH38Bxe3Lzw,reducing drug use,37,client,0:03:14,#NAME?,8,,,,,,,,neutral,,
high,64,Ricky and Ian,https://www.youtube.com/watch?v=uH38Bxe3Lzw,reducing drug use,38,therapist,0:03:15,Alright.,8,FALSE,,FALSE,,FALSE,,other,,other,
high,64,Ricky and Ian,https://www.youtube.com/watch?v=uH38Bxe3Lzw,reducing drug use,39,client,0:03:15,I suppose.,8,,,,,,,,neutral,,
high,64,Ricky and Ian,https://www.youtube.com/watch?v=uH38Bxe3Lzw,reducing drug use,40,therapist,0:03:17,"I'm trying to understand you so far, something's concerning you and something's concerning your friends-",8,FALSE,,TRUE,simple,FALSE,,reflection,,q,
high,64,Ricky and Ian,https://www.youtube.com/watch?v=uH38Bxe3Lzw,reducing drug use,41,client,0:03:22,Yeah.,8,,,,,,,,neutral,,
high,64,Ricky and Ian,https://www.youtube.com/watch?v=uH38Bxe3Lzw,reducing drug use,42,therapist,0:03:22,-but you're not sure whether it's- whether-- just how bad it is or- and you're just wanting to check that out?,8,FALSE,,FALSE,,TRUE,closed,question,,q,
high,64,Ricky and Ian,https://www.youtube.com/watch?v=uH38Bxe3Lzw,reducing drug use,43,client,0:03:29,"Yeah. Yeah. Yeah, 'cause, I mean, you know, they are my friends and-",8,,,,,,,,neutral,,
high,64,Ricky and Ian,https://www.youtube.com/watch?v=uH38Bxe3Lzw,reducing drug use,44,therapist,0:03:36,Mm-hmm.,8,FALSE,,FALSE,,FALSE,,other,,other,
